zone,n,dtp1_pct,dtp2_pct,dtp3_pct,retention_t1,retention_t2,who_dropout
North Central,541,100.0,92.53649813939478,80.405413098034,92.53649813939478,86.89048614840948,19.594586901965993
North East,659,100.0,94.60818614263393,83.15186587627429,94.60818614263393,87.89077274022802,16.84813412372571
North West,635,100.0,94.06403845489665,86.24257895025845,94.06403845489665,91.68496310267545,13.75742104974156
South East,505,100.0,98.10298375943718,85.94161532476296,98.10298375943718,87.60346732725718,14.058384675237035
South South,454,100.0,96.78402752305547,91.44061300946473,96.78402752305547,94.47903269749973,8.559386990535279
South West,400,100.0,94.57757048702537,87.01200600175879,94.57757048702537,92.00067791305291,12.98799399824121
