completion_rate,dtp2_rate,cost_total,cost_per_child,rate_poorest,rate_richest,equity_gap
0.8628,0.9499,1555700,155.57,0.8560240963855422,0.9286646367986081,0.07264054041306589
0.8562,0.9473,1559250,155.925,0.8429850746268657,0.9038785834738617,0.06089350884699607
0.8605,0.9505,1563900,156.39,0.8387301587301588,0.9302822925577416,0.09155213382758287
0.8558,0.9505,1557000,155.7,0.8357400722021661,0.9239495798319328,0.08820950762976676
0.8533,0.9432,1557350,155.735,0.8350329934013198,0.912373403786878,0.07734041038555828
0.8636,0.949,1566750,156.675,0.8407451923076923,0.9236641221374046,0.08291892982971227
0.8624,0.9466,1557350,155.735,0.8523489932885906,0.9160504567203132,0.06370146343172256
0.855,0.9499,1527200,152.72,0.8486803519061583,0.9155761924862811,0.06689584058012277
0.8592,0.9494,1546450,154.645,0.8505186089078707,0.9191526156506701,0.0686340067427994
0.8604,0.9481,1570200,157.02,0.83375,0.9172738962708958,0.08352389627089585
0.8603,0.9472,1542000,154.2,0.8535108958837773,0.9253412969283277,0.07183040104455041
0.8568,0.9482,1548900,154.89,0.8491353607632678,0.91396933560477,0.06483397484150222
0.8534,0.9434,1555550,155.555,0.8424864212432106,0.915749364944962,0.07326294370175135
0.8563,0.9472,1558300,155.83,0.8374920025591811,0.9234408602150538,0.08594885765587268
0.8595,0.9462,1572450,157.245,0.8149253731343283,0.9233142353459673,0.10838886221163901
0.8569,0.948,1561900,156.19,0.8479064039408867,0.9130798161303803,0.06517341218949357
0.8539,0.9465,1557350,155.735,0.8338332333533294,0.9115384615384615,0.07770522818513215
0.8531,0.945,1566150,156.615,0.8247108947048083,0.9133278822567457,0.08861698755193737
0.8613,0.9469,1549650,154.965,0.8409653465346535,0.9277158199091284,0.08675047337447495
0.8605,0.9468,1562450,156.245,0.8435820895522388,0.9125265392781317,0.06894444972589286
0.8568,0.945,1520750,152.075,0.8239263803680982,0.92206132879046,0.09813494842236181
0.8626,0.9518,1556450,155.645,0.84,0.9193408499566349,0.07934084995663493
0.8583,0.95,1547150,154.715,0.8308176100628931,0.9218683651804671,0.09105075511757399
0.8609,0.9484,1539300,153.93,0.8445532435740514,0.9289915966386555,0.08443835306460412
0.8576,0.9469,1563850,156.385,0.8318372232196289,0.9228159457167091,0.09097872249708017
0.8596,0.9501,1540200,154.02,0.8492736077481841,0.9246064623032312,0.07533285455504712
0.861,0.9496,1570200,157.02,0.8456456456456456,0.9270568278201866,0.08141118217454102
0.8585,0.9476,1534450,153.445,0.843125,0.9251359263906316,0.08201092639063157
0.8548,0.9489,1553300,155.33,0.8352201257861636,0.9156576200417537,0.0804374942555901
0.8577,0.9492,1579700,157.97,0.8404594767070837,0.9238578680203046,0.08339839131322091
0.8631,0.9502,1564200,156.42,0.8549066827212523,0.9248650892486509,0.0699584065273986
0.8603,0.949,1558750,155.875,0.8389982110912343,0.9166317553414327,0.07763354425019842
0.8523,0.9452,1541850,154.185,0.833626244874048,0.9234024545069827,0.08977620963293464
0.8511,0.9443,1550850,155.085,0.8400488400488401,0.9194232400339271,0.079374399985087
0.8606,0.9479,1571200,157.12,0.8455284552845529,0.9229521492295215,0.07742369394496862
0.8576,0.9467,1536450,153.645,0.8563636363636363,0.9194432728806411,0.06307963651700477
0.8573,0.9491,1547900,154.79,0.8405438813349815,0.9208916083916084,0.08034772705662696
0.8611,0.9461,1563100,156.31,0.8451300665456746,0.9208003334722801,0.0756702669266055
0.8599,0.9467,1549850,154.985,0.8338243959929287,0.916126242974492,0.08230184698156329
0.8613,0.9501,1556600,155.66,0.8454600120264583,0.9242490204614715,0.07878900843501324
0.8614,0.9497,1568550,156.855,0.8614532019704434,0.9116666666666666,0.05021346469622323
0.854,0.9452,1567650,156.765,0.8270440251572327,0.9259415996614473,0.09889757450421455
0.8625,0.9491,1566250,156.625,0.8503787878787878,0.9239176124422026,0.07353882456341476
0.8588,0.9469,1532850,153.285,0.8613981762917933,0.9171920975199663,0.05579392122817306
0.8593,0.9489,1560600,156.06,0.8409387222946545,0.9228486646884273,0.0819099423937728
0.8615,0.9478,1539250,153.925,0.8539962240402769,0.9254553155442609,0.071459091503984
0.8574,0.9493,1563850,156.385,0.8434996919285275,0.9181628392484342,0.07466314731990675
0.8611,0.9475,1552550,155.255,0.8468523002421308,0.9146183699870634,0.0677660697449326
0.8555,0.9482,1565850,156.585,0.8410636982065554,0.9196544276457883,0.07859072943923295
0.8597,0.9499,1571750,157.175,0.8385705483672212,0.9220945083014048,0.0835239599341836
0.8574,0.9494,1556800,155.68,0.835956416464891,0.9259100642398287,0.08995364777493764
0.8589,0.9499,1541850,154.185,0.8468578401464307,0.9301455301455301,0.08328768999909941
0.8578,0.9479,1540650,154.065,0.8399269628727937,0.9177346010748243,0.07780763820203063
0.859,0.9505,1542750,154.275,0.8375474083438685,0.9273447820343461,0.08979737369047758
0.8592,0.9465,1569200,156.92,0.8401253918495298,0.9205999117776797,0.08047451992814991
0.8584,0.9486,1572950,157.295,0.8395136778115502,0.9174389216512215,0.07792524383967137
0.8582,0.9483,1533600,153.36,0.8409785932721713,0.9174116645381013,0.07643307126593002
0.8657,0.952,1568700,156.87,0.851965601965602,0.9139917695473251,0.06202616758172308
0.8623,0.9483,1556100,155.61,0.8517424689899586,0.9163920922570017,0.06464962326704304
0.8714,0.9514,1545900,154.59,0.8658536585365854,0.9295473953885568,0.06369373685197144
0.8559,0.946,1550200,155.02,0.8478126925446704,0.9131175468483816,0.06530485430371125
0.8599,0.9487,1550350,155.035,0.8474065138721351,0.9182203389830509,0.07081382511091583
0.8605,0.9501,1546500,154.65,0.8398320335932813,0.919578947368421,0.07974691377513976
0.8593,0.9474,1554000,155.4,0.83811850946854,0.9251063829787234,0.08698787351018333
0.8543,0.9463,1588650,158.865,0.8223289315726291,0.917707884532529,0.09537895295989995
0.8592,0.947,1519200,151.92,0.8502175264139217,0.9195006457167456,0.06928311930282394
0.8573,0.9487,1566800,156.68,0.841717791411043,0.921619293712317,0.07990150230127402
0.8608,0.9488,1555250,155.525,0.8569725864123957,0.9167722855935784,0.059799699181182664
0.8604,0.9471,1552900,155.29,0.8335403726708075,0.9275603663613655,0.09401999369055802
0.8688,0.9516,1580050,158.005,0.8634996993385448,0.9273648648648649,0.06386516552632016
0.8538,0.9464,1548250,154.825,0.8425531914893617,0.9258783204798628,0.08332512899050115
0.8569,0.9507,1569150,156.915,0.8502444987775061,0.915268456375839,0.0650239575983329
0.8682,0.9509,1575750,157.575,0.8404833836858006,0.9330320460147905,0.09254866232898995
0.8637,0.9506,1537350,153.735,0.8452012383900929,0.9244087837837838,0.0792075453936909
0.8611,0.9478,1541750,154.175,0.8493068113321278,0.9200680272108843,0.0707612158787565
0.8577,0.9468,1571550,157.155,0.8378220140515222,0.913622690159003,0.07580067610748076
0.8562,0.9445,1543600,154.36,0.834375,0.924646128226478,0.09027112822647798
0.8522,0.9475,1559900,155.99,0.8408389882788402,0.9071154665530464,0.06627647827420624
0.8578,0.9468,1548950,154.895,0.8388654194327098,0.9284183454779255,0.0895529260452157
0.8574,0.9468,1558850,155.885,0.8385131017672152,0.9161752316764954,0.07766212990928023
0.8556,0.9461,1535000,153.5,0.8414707655213984,0.9141900376726664,0.07271927215126794
0.8554,0.9445,1575200,157.52,0.8324483775811209,0.92018779342723,0.08773941584610911
0.8628,0.9469,1557700,155.77,0.839677047289504,0.9163090128755365,0.07663196558603247
0.8615,0.9481,1573050,157.305,0.8488032691185056,0.9256233877901978,0.07682011867169225
0.8502,0.9459,1558850,155.885,0.828009828009828,0.9169491525423729,0.08893932453254483
0.8537,0.944,1533350,153.335,0.8391224862888482,0.9128964059196617,0.07377391963081348
0.8594,0.9463,1546250,154.625,0.8587223587223587,0.910371318822023,0.051648960099664354
0.853,0.9415,1538650,153.865,0.8445945945945946,0.9071459135643988,0.06255131896980415
0.8602,0.9471,1557450,155.745,0.8516483516483516,0.9211206896551725,0.06947233800682084
0.8563,0.9455,1548300,154.83,0.8495788206979543,0.9286905754795663,0.07911175478161203
0.8568,0.9466,1563600,156.36,0.8455575432319619,0.9128755364806866,0.06731799324872478
0.8558,0.9478,1547900,154.79,0.839003645200486,0.910234899328859,0.07123125412837306
0.8621,0.9465,1553700,155.37,0.8425396825396826,0.9278523489932886,0.08531266645360602
0.8601,0.9451,1555400,155.54,0.8315347721822542,0.9239690721649485,0.09243429998269426
0.8632,0.9498,1569700,156.97,0.8509585652442795,0.9153684210526316,0.06440985580835212
0.862,0.9511,1574950,157.495,0.8483110261312938,0.9257095158597662,0.07739848972847241
0.8641,0.9503,1558250,155.825,0.8403412553321146,0.9155405405405406,0.075199285208426
0.852,0.9439,1546450,154.645,0.8484848484848485,0.915807560137457,0.0673227116526085
0.8515,0.9483,1571700,157.17,0.8405620036652413,0.9113814074717637,0.07081940380652241
0.8616,0.9483,1558100,155.81,0.8458692971639951,0.9092444069227522,0.06337510975875715
0.8596,0.9451,1540750,154.075,0.8438456827924066,0.9263906315349226,0.08254494874251606
0.8565,0.9478,1548850,154.885,0.8357933579335793,0.9130993150684932,0.07730595713491384
0.8571,0.9476,1541550,154.155,0.8457214241099313,0.9201489449731072,0.07442752086317583
0.8669,0.951,1566050,156.605,0.8538226299694189,0.9323340471092078,0.07851141713978882
0.8562,0.948,1537250,153.725,0.838107098381071,0.9184514003294892,0.08034430194841824
0.8566,0.9487,1555050,155.505,0.8266832917705735,0.9198943661971831,0.09321107442660959
0.8575,0.9489,1535300,153.53,0.8342541436464088,0.9174350377200335,0.08318089407362472
0.8597,0.9517,1564750,156.475,0.841952353282975,0.9194017449106772,0.07744939162770215
0.8621,0.9489,1548050,154.805,0.8277602523659306,0.9268790849673203,0.09911883260138965
0.8613,0.9501,1556200,155.62,0.8428571428571429,0.9209535759096612,0.07809643305251834
