completion_rate,dtp2_rate,cost_total,cost_per_child,rate_poorest,rate_richest,equity_gap
1.0,1.0,4468600,446.86,1.0,1.0,0.0
1.0,1.0,4393900,439.39,1.0,1.0,0.0
1.0,1.0,4483900,448.39,1.0,1.0,0.0
1.0,1.0,4482550,448.255,1.0,1.0,0.0
1.0,1.0,4357900,435.79,1.0,1.0,0.0
1.0,1.0,4467250,446.725,1.0,1.0,0.0
1.0,1.0,4466350,446.635,1.0,1.0,0.0
1.0,1.0,4452400,445.24,1.0,1.0,0.0
1.0,1.0,4464550,446.455,1.0,1.0,0.0
1.0,1.0,4436200,443.62,1.0,1.0,0.0
1.0,1.0,4411000,441.1,1.0,1.0,0.0
1.0,1.0,4456900,445.69,1.0,1.0,0.0
1.0,1.0,4515400,451.54,1.0,1.0,0.0
1.0,1.0,4498300,449.83,1.0,1.0,0.0
1.0,1.0,4462750,446.275,1.0,1.0,0.0
1.0,1.0,4442500,444.25,1.0,1.0,0.0
1.0,1.0,4416400,441.64,1.0,1.0,0.0
1.0,1.0,4490650,449.065,1.0,1.0,0.0
1.0,1.0,4394800,439.48,1.0,1.0,0.0
1.0,1.0,4498750,449.875,1.0,1.0,0.0
1.0,1.0,4465900,446.59,1.0,1.0,0.0
1.0,1.0,4480750,448.075,1.0,1.0,0.0
1.0,1.0,4415050,441.505,1.0,1.0,0.0
1.0,1.0,4406950,440.695,1.0,1.0,0.0
1.0,1.0,4492000,449.2,1.0,1.0,0.0
1.0,1.0,4424050,442.405,1.0,1.0,0.0
1.0,1.0,4469500,446.95,1.0,1.0,0.0
1.0,1.0,4454650,445.465,1.0,1.0,0.0
1.0,1.0,4451500,445.15,1.0,1.0,0.0
1.0,1.0,4511800,451.18,1.0,1.0,0.0
1.0,1.0,4532950,453.295,1.0,1.0,0.0
1.0,1.0,4466800,446.68,1.0,1.0,0.0
1.0,1.0,4424500,442.45,1.0,1.0,0.0
1.0,1.0,4479850,447.985,1.0,1.0,0.0
1.0,1.0,4475800,447.58,1.0,1.0,0.0
1.0,1.0,4441600,444.16,1.0,1.0,0.0
1.0,1.0,4426300,442.63,1.0,1.0,0.0
1.0,1.0,4457800,445.78,1.0,1.0,0.0
1.0,1.0,4432150,443.215,1.0,1.0,0.0
1.0,1.0,4474450,447.445,1.0,1.0,0.0
1.0,1.0,4516300,451.63,1.0,1.0,0.0
1.0,1.0,4427650,442.765,1.0,1.0,0.0
1.0,1.0,4466800,446.68,1.0,1.0,0.0
1.0,1.0,4495150,449.515,1.0,1.0,0.0
1.0,1.0,4410550,441.055,1.0,1.0,0.0
1.0,1.0,4473550,447.355,1.0,1.0,0.0
1.0,1.0,4471750,447.175,1.0,1.0,0.0
1.0,1.0,4459600,445.96,1.0,1.0,0.0
1.0,1.0,4465900,446.59,1.0,1.0,0.0
1.0,1.0,4452850,445.285,1.0,1.0,0.0
