community_idx,assigned_action,n_children,dropout_rate,cost,sstate,v021
858,1,1,0.0,50,29,1074
859,1,1,0.0,50,29,1075
860,1,2,0.0,100,29,1076
862,1,3,0.0,150,29,1078
863,1,1,0.0,50,29,1079
866,1,2,0.0,100,30,1082
867,1,1,0.0,50,30,1083
868,1,2,0.0,100,30,1084
869,1,2,0.0,100,30,1085
870,1,1,0.0,50,30,1086
871,1,5,0.0,250,30,1087
872,1,2,0.0,100,30,1088
873,1,1,0.0,50,30,1089
874,1,2,0.0,100,30,1090
875,1,2,0.0,100,30,1091
877,1,1,0.0,50,30,1093
878,1,1,0.0,50,30,1094
879,1,2,0.0,100,30,1095
880,1,3,0.0,150,30,1096
881,1,2,0.0,100,30,1097
882,1,3,0.0,150,30,1098
884,1,1,0.0,50,30,1100
885,1,1,0.0,50,30,1101
886,1,1,0.0,50,30,1102
887,1,4,0.0,200,30,1103
888,1,2,0.0,100,30,1105
890,1,1,0.0,50,30,1108
891,1,1,0.0,50,30,1110
892,1,1,0.0,50,30,1111
893,1,1,0.0,50,30,1112
895,1,2,0.0,100,30,1115
896,1,1,0.0,50,30,1117
897,1,3,0.0,150,30,1118
898,1,2,0.0,100,31,1121
900,1,1,0.0,50,31,1123
901,1,4,0.0,200,31,1124
904,1,6,0.0,300,31,1128
905,1,4,0.0,200,31,1129
906,1,3,0.0,150,31,1130
907,1,1,0.0,50,31,1131
910,1,1,0.0,50,31,1135
912,1,3,0.0,150,31,1137
913,1,1,0.0,50,31,1138
914,1,1,0.0,50,31,1139
915,1,2,0.0,100,31,1140
918,1,2,0.0,100,31,1143
920,1,1,0.0,50,31,1145
922,1,1,0.0,50,31,1147
923,1,2,0.0,100,31,1148
924,1,4,0.0,200,31,1149
925,1,2,0.0,100,31,1150
927,1,4,0.0,200,31,1152
929,1,1,0.0,50,32,1154
930,1,6,0.0,300,32,1155
932,1,3,0.0,150,32,1157
937,1,3,0.0,150,32,1163
940,1,7,0.0,350,32,1166
941,1,1,0.0,50,32,1167
942,1,2,0.0,100,32,1168
943,1,2,0.0,100,32,1170
944,1,2,0.0,100,32,1171
945,1,2,0.0,100,32,1172
946,1,4,0.0,200,32,1173
947,1,3,0.0,150,32,1174
948,1,3,0.0,150,32,1176
950,1,4,0.0,200,32,1178
951,1,1,0.0,50,32,1179
952,1,1,0.0,50,32,1180
953,1,6,0.0,300,32,1181
954,1,2,0.0,100,32,1182
955,1,3,0.0,150,32,1183
956,1,2,0.0,100,32,1184
957,1,4,0.0,200,32,1185
958,1,2,0.0,100,32,1186
959,1,5,0.0,250,32,1187
960,1,2,0.0,100,32,1188
961,1,1,0.0,50,32,1189
962,1,3,0.0,150,32,1190
964,1,2,0.0,100,32,1192
965,1,2,0.0,100,33,1193
967,1,1,0.0,50,33,1195
968,1,2,0.0,100,33,1196
969,1,2,0.0,100,33,1197
971,1,1,0.0,50,33,1199
972,1,1,0.0,50,33,1200
973,1,2,0.0,100,33,1201
974,1,2,0.0,100,33,1202
976,1,4,0.0,200,33,1204
977,1,1,0.0,50,33,1205
980,1,1,0.0,50,33,1208
981,1,2,0.0,100,33,1209
982,1,2,0.0,100,33,1210
983,1,1,0.0,50,33,1211
984,1,2,0.0,100,33,1212
985,1,3,0.0,150,33,1213
987,1,2,0.0,100,33,1217
988,1,1,0.0,50,33,1218
989,1,2,0.0,100,33,1219
990,1,2,0.0,100,33,1220
991,1,1,0.0,50,33,1221
992,1,4,0.0,200,33,1222
993,1,3,0.0,150,33,1223
994,1,6,0.0,300,33,1224
995,1,3,0.0,150,33,1225
996,1,3,0.0,150,33,1226
998,1,2,0.0,100,33,1228
1000,1,1,0.0,50,33,1230
1001,1,6,0.0,300,33,1231
1002,1,4,0.0,200,34,1235
1003,1,2,0.0,100,34,1236
1004,1,1,0.0,50,34,1237
1005,1,4,0.0,200,34,1238
1006,1,2,0.0,100,34,1239
1007,1,3,0.0,150,34,1240
1008,1,2,0.0,100,34,1241
1009,1,1,0.0,50,34,1242
1010,1,3,0.0,150,34,1243
1011,1,5,0.0,250,34,1244
1012,1,5,0.0,250,34,1245
1014,1,2,0.0,100,34,1247
1015,1,4,0.0,200,34,1248
1018,1,5,0.0,250,34,1253
1022,1,4,0.0,200,34,1259
1023,1,1,0.0,50,34,1260
1024,1,2,0.0,100,34,1262
1026,1,2,0.0,100,35,1264
1027,1,3,0.0,150,35,1265
1028,1,1,0.0,50,35,1266
1029,1,3,0.0,150,35,1267
1031,1,3,0.0,150,35,1269
1032,1,1,0.0,50,35,1270
1033,1,2,0.0,100,35,1271
1034,1,2,0.0,100,35,1272
1035,1,3,0.0,150,35,1275
1036,1,2,0.0,100,35,1276
1037,1,1,0.0,50,35,1277
1038,1,3,0.0,150,35,1279
1039,1,3,0.0,150,35,1280
1040,1,1,0.0,50,35,1281
1041,1,4,0.0,200,35,1282
1042,1,2,0.0,100,35,1283
1043,1,4,0.0,200,35,1284
1044,1,1,0.0,50,35,1285
1045,1,1,0.0,50,35,1286
1046,1,4,0.0,200,35,1287
1047,1,5,0.0,250,35,1289
1048,1,3,0.0,150,35,1290
1049,1,1,0.0,50,35,1291
1050,1,2,0.0,100,35,1292
1051,1,1,0.0,50,35,1293
1052,1,4,0.0,200,35,1294
1054,1,5,0.0,250,35,1297
1055,1,3,0.0,150,35,1298
1056,1,5,0.0,250,35,1299
1057,1,6,0.0,300,35,1300
1058,1,2,0.0,100,35,1302
1061,1,2,0.0,100,36,1306
1062,1,2,0.0,100,36,1307
1063,1,3,0.0,150,36,1309
1064,1,1,0.0,50,36,1310
1065,1,1,0.0,50,36,1311
1068,1,3,0.0,150,36,1314
1069,1,2,0.0,100,36,1315
1070,1,2,0.0,100,36,1316
1071,1,2,0.0,100,36,1317
1072,1,4,0.0,200,36,1318
1073,1,5,0.0,250,36,1319
1074,1,1,0.0,50,36,1320
1075,1,3,0.0,150,36,1323
1076,1,5,0.0,250,36,1324
1077,1,2,0.0,100,36,1325
1078,1,2,0.0,100,36,1327
1079,1,1,0.0,50,36,1328
1081,1,6,0.0,300,36,1331
1082,1,4,0.0,200,36,1333
1083,1,3,0.0,150,36,1334
1084,1,3,0.0,150,36,1335
1085,1,1,0.0,50,36,1336
1086,1,3,0.0,150,36,1337
1087,1,1,0.0,50,36,1338
1088,1,1,0.0,50,36,1339
1089,1,2,0.0,100,36,1341
1090,1,2,0.0,100,36,1342
1091,1,2,0.0,100,36,1343
1092,1,4,0.0,200,36,1344
1093,1,1,0.0,50,36,1345
1094,1,1,0.0,50,36,1346
1096,1,2,0.0,100,36,1348
1097,1,1,0.0,50,36,1349
1099,1,1,0.0,50,36,1353
1100,1,2,0.0,100,36,1354
1101,1,1,0.0,50,37,1355
1102,1,3,0.0,150,37,1356
1104,1,1,0.0,50,37,1358
1105,1,2,0.0,100,37,1359
1107,1,5,0.0,250,37,1361
1108,1,1,0.0,50,37,1362
1109,1,2,0.0,100,37,1363
1110,1,1,0.0,50,37,1364
1113,1,2,0.0,100,37,1369
1114,1,2,0.0,100,37,1370
1115,1,4,0.0,200,37,1371
1116,1,3,0.0,150,37,1373
1117,1,1,0.0,50,37,1374
1118,1,1,0.0,50,37,1375
1119,1,2,0.0,100,37,1376
1120,1,3,0.0,150,37,1377
1121,1,2,0.0,100,37,1378
1122,1,2,0.0,100,37,1379
1123,1,1,0.0,50,37,1380
1124,1,4,0.0,200,37,1381
1125,1,1,0.0,50,37,1382
1126,1,3,0.0,150,37,1384
1128,1,1,0.0,50,37,1386
1129,1,2,0.0,100,37,1387
1130,1,1,0.0,50,37,1388
1131,1,2,0.0,100,37,1389
1132,1,2,0.0,100,37,1390
1133,1,1,0.0,50,37,1391
1134,1,4,0.0,200,37,1392
1135,1,3,0.0,150,37,1393
1136,1,1,0.0,50,37,1395
1137,1,2,0.0,100,37,1396
1138,1,3,0.0,150,37,1399
1139,1,1,0.0,50,37,1400
