child_id,dose_step,optimal_action,q_a0,q_a1,q_a2,q_a3,q_a4,q_max,q_advantage,behaviour_action,weight
2_3_3,0,0,1.6245469243854807,1.589525402015719,1.5807972476411476,1.167034088843321,1.599805379559715,1.6245469243854807,0.0,0,0.7224209904670715
2_3_3,1,0,1.1749725901892873,1.1645828296082685,1.1685976208358415,1.167034088843321,1.126219481525828,1.1749725901892873,0.006374969353445836,2,0.7224209904670715
4_1_1,0,2,1.0047541498005685,1.5806426985589777,1.58822175597466,1.167034088843321,1.508672949312073,1.58822175597466,0.007579057415682433,1,1.179908037185669
4_1_1,1,3,0.14935195032794082,1.1664044948949523,1.1649110349757856,1.167034088843321,0.17646898646364156,1.167034088843321,1.0176821385153803,0,1.179908037185669
5_19_2,0,2,1.5788808926681484,1.584938068998781,1.588008984229396,1.167034088843321,1.574627976500577,1.588008984229396,0.003070915230614979,1,0.8297449946403503
5_19_2,1,3,1.1247126757948278,1.1668491467093582,1.163633659536681,1.167034088843321,1.1592612240664586,1.167034088843321,0.00018494213396280657,1,0.8297449946403503
5_51_2,0,2,1.5990104380031,1.5836677066972287,1.6000093720022077,1.167034088843321,1.5908517559098605,1.6000093720022077,0.0009989339991076651,0,0.8297449946403503
5_51_2,1,4,1.1544999698572906,1.1714345781855118,1.1636909614376643,1.167034088843321,1.1808589532744995,1.1808589532744995,0.02635898341720888,0,0.8297449946403503
6_6_2,0,4,1.6041442652606914,1.6161179251912092,1.6117373893146258,1.167034088843321,1.6434307435838298,1.6434307435838298,0.027312818392620564,1,0.8400700092315674
6_6_2,1,4,1.0787256543568036,1.1688665147763881,1.1664608778518057,1.167034088843321,1.2166492279944043,1.2166492279944043,0.04778271321801619,1,0.8400700092315674
13_7_2,0,1,0.5107974898008133,1.6145581633937578,1.572768923970838,1.167034088843321,1.5229861471944768,1.6145581633937578,0.0,1,2.457617998123169
13_7_2,1,3,0.4912949380594573,1.1652910196271382,1.1639137238146335,1.167034088843321,1.1350761180549693,1.167034088843321,0.0,3,2.457617998123169
13_49_2,0,1,1.5113182006555335,1.5939187679005298,1.5927767663025543,1.167034088843321,1.5242345063991491,1.5939187679005298,0.08260056724499631,0,2.457617998123169
13_49_2,1,3,0.2708791552293667,1.1665263873673692,1.1621885928642497,1.167034088843321,0.37057725504176203,1.167034088843321,0.8961549336139544,0,2.457617998123169
17_39_2,0,1,0.37931839144436547,1.5955231785566248,1.5732883723669029,1.167034088843321,0.6342974677613572,1.5955231785566248,1.2162047871122594,0,1.0105229616165161
20_18_2,0,2,0.3969680109516564,1.5728556106399914,1.5782495989715277,1.167034088843321,1.3830738790905786,1.5782495989715277,0.00539398833153637,1,0.4718250036239624
20_18_2,1,3,-0.09562630994314764,1.1625232691400245,1.1626630222956682,1.167034088843321,0.014189300938280688,1.167034088843321,1.2626603987864686,0,0.4718250036239624
20_51_2,0,2,0.42143475071459274,1.570183284196816,1.6014673944306448,1.167034088843321,0.5885842456027315,1.6014673944306448,1.180032643716052,0,0.4718250036239624
21_140_2,0,0,1.7699886107016551,1.5912373481914819,1.5810674951379926,1.167034088843321,1.6070439989469718,1.7699886107016551,0.17875126251017326,1,1.6438289880752563
21_140_2,1,0,1.208685454484531,1.1671194837605956,1.1658481448188125,1.167034088843321,1.1902717047832647,1.208685454484531,0.0,0,1.6438289880752563
21_145_7,0,0,1.637203097705816,1.5845352666122576,1.584216691481822,1.167034088843321,1.5962677880693492,1.637203097705816,0.05266783109355844,1,1.6438289880752563
21_145_7,1,0,1.1804090074232902,1.165798293869305,1.1678164451967643,1.167034088843321,1.1663984014830093,1.1804090074232902,0.0,0,1.6438289880752563
21_153_9,0,0,1.6145625531364987,1.5852376946798694,1.5865386526134164,1.167034088843321,1.5929512850655485,1.6145625531364987,0.0,0,1.6438289880752563
21_153_9,1,3,1.06790156464061,1.1650034205637414,1.1639521880499055,1.167034088843321,1.1407926466706848,1.167034088843321,0.0020306682795796505,1,1.6438289880752563
23_13_2,0,2,1.5881832594578926,1.5838675470268786,1.5904314219805606,1.167034088843321,1.5845565145100977,1.5904314219805606,0.006563874953682047,1,0.81113600730896
23_13_2,1,0,1.1966721405874376,1.165727460312538,1.168339246384018,1.167034088843321,1.154281002308059,1.1966721405874376,0.030944680274899605,1,0.81113600730896
23_31_3,0,0,1.6463035011207228,1.588846726617062,1.5758457776407588,1.167034088843321,1.601403479619266,1.6463035011207228,0.05745677450366071,1,0.81113600730896
