,,Grouped by vac_dropout,Grouped by vac_dropout,Grouped by vac_dropout,Grouped by vac_dropout,Grouped by vac_dropout,Grouped by vac_dropout
,,Missing,Overall,0,1,P-Value,Test
n,,,3194,2722,472,,
"v131, n (%)",214,,2 (0.1),2 (0.1),0 (0.0),,
"v131, n (%)",216,,5 (0.2),4 (0.1),1 (0.2),,
"v131, n (%)",217,,10 (0.3),9 (0.3),1 (0.2),,
"v131, n (%)",218,,1 (0.0),0 (0.0),1 (0.2),,
"v131, n (%)",219,,3 (0.1),2 (0.1),1 (0.2),,
"v131, n (%)",220,,2 (0.1),0 (0.0),2 (0.4),,
"v131, n (%)",221,,7 (0.2),6 (0.2),1 (0.2),,
"v131, n (%)",226,,4 (0.1),3 (0.1),1 (0.2),,
"v131, n (%)",227,,1 (0.0),1 (0.0),0 (0.0),,
"v131, n (%)",231,,1 (0.0),1 (0.0),0 (0.0),,
"v131, n (%)",232,,1 (0.0),1 (0.0),0 (0.0),,
"v131, n (%)",234,,1 (0.0),1 (0.0),0 (0.0),,
"v131, n (%)",235,,1 (0.0),1 (0.0),0 (0.0),,
"v131, n (%)",237,,47 (1.5),38 (1.4),9 (1.9),,
"v131, n (%)",238,,2 (0.1),2 (0.1),0 (0.0),,
"v131, n (%)",241,,13 (0.4),12 (0.4),1 (0.2),,
"v131, n (%)",246,,9 (0.3),8 (0.3),1 (0.2),,
"v131, n (%)",247,,1 (0.0),1 (0.0),0 (0.0),,
"v131, n (%)",249,,1 (0.0),1 (0.0),0 (0.0),,
"v131, n (%)",253,,2 (0.1),0 (0.0),2 (0.4),,
"v131, n (%)",255,,2 (0.1),2 (0.1),0 (0.0),,
"v131, n (%)",257,,1 (0.0),0 (0.0),1 (0.2),,
"v131, n (%)",258,,1 (0.0),0 (0.0),1 (0.2),,
"v131, n (%)",26,,1 (0.0),1 (0.0),0 (0.0),,
"v131, n (%)",261,,7 (0.2),7 (0.3),0 (0.0),,
"v131, n (%)",265,,3 (0.1),2 (0.1),1 (0.2),,
"v131, n (%)",27,,1 (0.0),1 (0.0),0 (0.0),,
"v131, n (%)",270,,6 (0.2),6 (0.2),0 (0.0),,
"v131, n (%)",272,,12 (0.4),5 (0.2),7 (1.5),,
"v131, n (%)",273,,2 (0.1),1 (0.0),1 (0.2),,
"v131, n (%)",276,,68 (2.1),51 (1.9),17 (3.6),,
